cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
10000 16.1341732998 23.952772357 25.5184935823 0.00622848178735 -1.29365940818e-05 -3.44731845046e-05 0.00621675601641 -4.35143972305e-05 -0.000151982748877 0.00632326471937 2.51520735024e-05 0.000118216880177 0.00640549297688 -1.75609451448e-05 -6.4378016747e-05 0.00614826284601 -7.94193510602e-06 1.74631056729e-05 0.0066596135643 -1.44422228081e-05 -3.87606488013e-05 0.00559332483969 -1.6442423463e-05 -5.81258101967e-05 86.2222603761 129.485353743
11000 16.7548976694 23.9514918944 25.5148759267 0.00618623202981 -1.2990148136e-05 -3.78540709534e-05 0.00617726604581 -4.36038815071e-05 -0.000158748923288 0.00627164529785 2.46197247795e-05 0.000127328252634 0.00636026951903 -1.96151580617e-05 -7.32041506964e-05 0.00610440683573 -7.50034936421e-06 2.10049131075e-05 0.00660465567288 -1.48079163164e-05 -4.15032114242e-05 0.0055787906055 -1.44920954457e-05 -6.87745054371e-05 86.1813373447 129.49608166
12000 17.371541993 23.9502164907 25.5109433355 0.00614691846965 -1.26398879822e-05 -4.07820543249e-05 0.00613906039358 -4.6414305216e-05 -0.000177693276959 0.00622205352042 2.57433778308e-05 0.000136290769669 0.00631646973938 -2.15368454911e-05 -7.91825534163e-05 0.00606360013525 -7.54412127199e-06 2.36722277048e-05 0.0065542133939 -1.50239137785e-05 -4.36814949768e-05 0.00556343128366 -1.1958337627e-05 -7.84124242904e-05 86.1376232819 129.507782713
13000 17.9843342483 23.9489874145 25.5067376084 0.00610928458713 -1.1961453521e-05 -4.34996868111e-05 0.00610521739006 -4.56465342584e-05 -0.000183934398662 0.00617438101965 2.4564389232e-05 0.000139264055581 0.00627579805933 -2.31135083901e-05 -8.81856015518e-05 0.00602342984231 -5.96236526282e-06 2.82925870568e-05 0.00650569772489 -1.49440140908e-05 -4.51410474288e-05 0.00555031914318 -8.47176640674e-06 -8.78436337916e-05 86.0908746872 129.519704779
14000 18.5934559325 23.9478132014 25.5022754382 0.00607386220083 -1.08463005106e-05 -4.567158849e-05 0.00607317565252 -4.54357930134e-05 -0.000192251110905 0.00612983222659 2.60247969386e-05 0.000150175356125 0.0062385488723 -2.4001672476e-05 -9.46607655108e-05 0.00598564706386 -5.01394692304e-06 3.15277180258e-05 0.00645956737343 -1.47991482706e-05 -4.67683180966e-05 0.0055382090616 -4.9135317131e-06 -9.71405615048e-05 86.0413832481 129.532079958
15000 19.1990999352 23.9467391802 25.49757937 0.00604003555895 -1.20623195957e-05 -4.84197101322e-05 0.00585665591047 -5.47408990177e-05 -0.000215962972036 0.00608598203317 2.49207097986e-05 0.000152046159637 0.00620104310389 -2.82919341378e-05 -0.000101020729126 0.00594991201245 -5.8630983417e-06 3.48776621317e-05 0.00641669992951 -1.62426570497e-05 -4.98969804003e-05 0.00552371177424 -1.79778829916e-06 -0.00010476888416 85.989597442 129.544490441
16000 19.8014531178 23.9457315504 25.4926698277 0.00600897656436 -9.03450940271e-06 -4.93155984378e-05 0.00583541978531 -5.97906495289e-05 -0.000222736137712 0.0060432554556 2.81834141765e-05 0.000161182004633 0.006168824987 -2.5900256022e-05 -0.000108438380241 0.0059141409202 -3.07982624374e-06 3.88131001958e-05 0.00637550431421 -8.90486961318e-06 -4.22430228384e-05 0.00551599660909 -2.38190016467e-06 -0.000113490365276 85.9357385134 129.55711916
17000 20.4006706932 23.9448159499 25.4875746622 0.00597733194286 -8.10456054073e-06 -5.15732323762e-05 0.00581117316005 -5.33286260513e-05 -0.00024128434239 0.00600569594304 2.73282625181e-05 0.00016926762913 0.00613492764239 -2.89449842653e-05 -0.000113618225425 0.00588199210469 -2.57888261969e-06 4.22165090723e-05 0.00633633182756 -1.463740762e-05 -4.96828241082e-05 0.00549827218485 7.83312561018e-06 -0.000120058370264 85.8798558839 129.569848555
18000 20.9969482045 23.9440406504 25.4823351354 0.0059486496943 -7.2030213516e-06 -5.32783393336e-05 0.00579193133951 -5.17423345808e-05 -0.000246105256895 0.00596761294871 2.57635152481e-05 0.000167513791305 0.00610472421136 -2.99077221738e-05 -0.000121504004796 0.00573429618809 4.14909979369e-05 1.47509889e-05 0.00630026027747 -1.47060905963e-05 -4.86816602782e-05 0.0054894959956 1.28510486896e-05 -0.000128000553464 85.8223809846 129.582471328
19000 21.5904411326 23.9433873879 25.4770043007 0.00592189273322 -5.94815305514e-06 -5.35713122135e-05 0.00577481868254 -5.12553673882e-05 -0.000256272940931 0.00593279613615 2.70037775406e-05 0.000177977689837 0.00607876581953 -3.12311091736e-05 -0.000127249493567 0.00570853845186 4.33320904243e-05 1.87101920678e-05 0.00626703157095 -1.47483219854e-05 -4.85199803369e-05 0.00547539780226 1.84691465354e-05 -0.000130949058171 85.7636973251 129.595511892
20000 22.1812759149 23.9427507194 25.4715626878 0.00589611463077 -4.67655234306e-06 -5.42893240186e-05 0.00575700089808 -5.03877000734e-05 -0.000270342158822 0.0058987618609 2.65573766478e-05 0.000179614326638 0.00605046960837 -3.19356809706e-05 -0.000131162774034 0.00568402496006 4.29395593601e-05 2.21801641547e-05 0.00623377605083 -1.46075676539e-05 -4.88399760834e-05 0.00546529698645 2.49946853462e-05 -0.000136547218514 85.6928140673 129.597988966
21000 22.7696205376 23.9422563661 25.4660895013 0.00587179524735 -4.19433463608e-06 -5.50634316506e-05 0.0057426437906 -4.98350523321e-05 -0.000273728573136 0.00586776141163 2.70894845529e-05 0.000184801017058 0.00602660367248 -3.4323151879e-05 -0.000140260915106 0.0056602882712 4.32928982718e-05 2.49566859222e-05 0.00620526157987 -1.42003044948e-05 -4.70333812669e-05 0.00545286099855 2.98872643859e-05 -0.000138722955852 85.6215910999 129.602418101
22000 23.3556931074 23.9420391703 25.4605910232 0.00585012891318 -2.95007833539e-06 -5.35605837261e-05 0.005729228181 -5.03207507084e-05 -0.000293260196446 0.00583750703631 2.72187286348e-05 0.000194973880927 0.0060872480018 -7.04654999808e-05 -0.000104892353338 0.00557140622003 7.62558820882e-05 -9.48247655656e-06 0.00617811459083 -1.46004679292e-05 -4.81235153123e-05 0.00544255310148 3.77353512908e-05 -0.000141678313035 85.5627555079 129.619783135
23000 23.9395204367 23.9418060432 25.4550997243 0.00582845706473 -5.38236174145e-07 -5.43610080249e-05 0.00571793532587 -4.60425774502e-05 -0.000291674783583 0.00580815232643 2.60894747305e-05 0.000191954998735 0.00606315931711 -6.7633306117e-05 -0.000109923272265 0.00555407279685 7.48282644418e-05 -7.77668079581e-06 0.00614974442635 -1.33275313157e-05 -4.48246882383e-05 0.00543303946901 4.34910351384e-05 -0.000142497912807 85.4916202091 129.628140385
24000 24.5213900342 23.941796002 25.4496655361 0.00580893076319 7.65366578511e-07 -5.42111043163e-05 0.00570867311375 -4.55596327948e-05 -0.000309399971966 0.00590677973376 2.19943090504e-05 0.000183443327596 0.00604001957969 -6.68116103125e-05 -0.000112153386898 0.00553919330024 7.62530622932e-05 -4.16220139197e-06 0.00612564163797 -1.25142730393e-05 -4.36518874728e-05 0.00542239656439 5.04303633906e-05 -0.000143271083579 85.4318902681 129.648557258
25000 25.1013098904 23.9418178134 25.4442875158 0.00579051903881 2.12688727164e-06 -5.26425653972e-05 0.00569950255868 -4.24912818409e-05 -0.000308939154368 0.00588122032021 1.95775660443e-05 0.000183553319811 0.00602054360889 -6.57796319241e-05 -0.000114349743067 0.00552339645165 7.29564117543e-05 7.04478966116e-07 0.00610121445062 -1.2573943648e-05 -4.28243712637e-05 0.00541471074421 5.69891584361e-05 -0.000141728780761 85.3606468204 129.660595313
26000 25.6794724155 23.9419598507 25.4390420357 0.00577393887824 2.57859787701e-06 -5.11289843767e-05 0.00569304617304 -4.25149242233e-05 -0.000316182819277 0.00585832744837 1.7526573727e-05 0.000192670933807 0.00600086609151 -6.55085732642e-05 -0.000115313956661 0.00551043397326 7.17164999374e-05 6.05785290589e-06 0.00608197522068 -1.17351356606e-05 -3.97249677596e-05 0.00540368490245 6.21044772878e-05 -0.000139284580941 85.2888340083 129.674811243
27000 26.2560668773 23.9422925814 25.4339840488 0.00575815496005 3.70396417832e-06 -5.00439612384e-05 0.00568618691178 -3.95909803477e-05 -0.000326375635897 0.00583131288323 2.19570501276e-05 0.000198183155882 0.00598296575129 -6.39637268382e-05 -0.000116594820619 0.00549754947638 6.80945791152e-05 9.88409499869e-06 0.00606172837569 -1.15592087359e-05 -3.87049311635e-05 0.00539840231867 6.87785847981e-05 -0.000137991445309 85.2291254525 129.701378053
28000 26.831098394 23.9426027563 25.4290495693 0.00574349973501 4.94659192924e-06 -4.81727787046e-05 0.00568148098749 -3.73869726233e-05 -0.00032445481651 0.005810627085 2.12040793759e-05 0.000199929722647 0.00596817596674 -6.3267533709e-05 -0.000118302187743 0.00548568100635 6.64921769612e-05 1.55542822132e-05 0.00604342885279 -1.10021513946e-05 -3.65299631239e-05 0.00538582746758 7.4051408358e-05 -0.00013275343865 85.1575796968 129.720540157
29000 27.4047089867 23.9430194102 25.4243167252 0.00573064011481 5.76180897315e-06 -4.44117228932e-05 0.00567908464768 -3.57188995508e-05 -0.000337603213703 0.0057912759376 1.87763751012e-05 0.000214116847863 0.00595251845307 -6.21624636009e-05 -0.000116056255025 0.00547432189105 6.3404844743e-05 2.20617501631e-05 0.00602874380317 -1.05563490326e-05 -3.29383527167e-05 0.00538081533047 8.08200554996e-05 -0.00012803142614 85.0855339529 129.742033521
30000 27.9770842872 23.9436200865 25.4198334906 0.00571723114535 6.56730378102e-06 -4.37153081095e-05 0.00567423012697 -3.25727289398e-05 -0.000332416756806 0.00576844266058 2.35713340941e-05 0.000208982591219 0.00593932938291 -6.04199722708e-05 -0.00011856139436 0.00546371044195 5.96402024025e-05 2.58201872978e-05 0.0060106565729 -1.01404314851e-05 -3.26292570838e-05 0.00536831631908 8.49502650189e-05 -0.000122022213409 85.0258416671 129.777009321
31000 28.5482140365 23.9441977268 25.4155222654 0.00570603258018 7.15711234878e-06 -4.15093143295e-05 0.00567424904598 -3.25859389766e-05 -0.000347173079926 0.0057516901312 2.2243652725e-05 0.000219502733377 0.00592591224316 -5.92950793554e-05 -0.00011751939916 0.0054542892661 5.60293464112e-05 3.10653298281e-05 0.00599869637332 -9.12815190886e-06 -2.96044328882e-05 0.00536277334999 9.02445944722e-05 -0.00011822501606 84.9538002218 129.804317766
32000 29.1182634192 23.9449647537 25.411486406 0.00569570366811 7.54717349787e-06 -3.94634412161e-05 0.00555773314712 -1.05506167861e-05 -0.000337207857613 0.0057316993026 2.6071982663e-05 0.000218936212583 0.00591442077023 -5.76744486596e-05 -0.000117666596239 0.00544581620641 5.15306043895e-05 3.50397815823e-05 0.00598515922383 -8.36131781488e-06 -2.771144703e-05 0.00535402174856 9.33067588697e-05 -0.000109364995626 84.8936049916 129.845291211
33000 29.6872680724 23.9456761709 25.4076502039 0.0056855099093 8.67288188906e-06 -3.67001583298e-05 0.00555760682918 -6.60507348889e-06 -0.000341529020918 0.00571732123023 2.50410212067e-05 0.000223852495053 0.00590479648367 -5.64238933453e-05 -0.00011728423679 0.00543717747538 4.85549509869e-05 4.14444016123e-05 0.00597309605264 -7.79648628235e-06 -2.59058673535e-05 0.00534638831004 9.83035688988e-05 -0.000104045520974 84.8217375629 129.879855846
34000 30.2553816892 23.9465436925 25.4041377925 0.00567931840881 9.45858661252e-06 -3.49771224843e-05 0.0055590560614 -2.56255693566e-06 -0.000343462624848 0.00570064056593 2.96107913346e-05 0.000225591501889 0.00589590223206 -5.25772901713e-05 -0.000117877270396 0.00543135135209 4.51297391741e-05 4.32581597515e-05 0.00596947231886 -7.35216160105e-06 -2.53568258911e-05 0.00532499905782 0.000109139245551 -8.39138238611e-06 84.7616994718 129.928449336
35000 30.822636059 23.9473142064 25.400871518 0.00566898306148 1.02796982019e-05 -2.9906758317e-05 0.00556007989572 -6.41091567544e-08 -0.000339964300306 0.00568848761486 2.7204055904e-05 0.000229555536999 0.00588711505307 -5.21514140182e-05 -0.000113182583845 0.00542238740379 4.01870135469e-05 5.20543941107e-05 0.0059543005944 -1.55721953357e-05 -5.60599765783e-05 0.00531692357606 0.000106953773449 -3.85678966664e-07 84.6891956351 129.970334218
36000 31.389163983 23.9482506399 25.3979485676 0.00566169358277 9.19738759224e-06 -2.79694701566e-05 0.0055626596605 1.08075980547e-06 -0.000347722258075 0.00567239173359 3.01408432191e-05 0.000240087821498 0.00587690766426 -5.15898791316e-05 -0.000111704492685 0.00541740884715 3.44242538799e-05 5.38623774726e-05 0.00594586978423 -1.76971750155e-05 -5.46172536081e-05 0.00531145388517 0.000106289450304 1.13929141478e-05 84.6293462489 130.027066899
37000 31.9550494646 23.9492246939 25.3952699287 0.00565595364296 9.36289141671e-06 -2.47327860122e-05 0.00556464553774 4.09202806777e-06 -0.000338412047885 0.00565933456581 3.34358555897e-05 0.000232846599422 0.00587138364648 -4.94320319856e-05 -0.000110320134604 0.00541182337168 2.9971081109e-05 6.05731380545e-05 0.00593964139 -1.71260675056e-05 -5.31359082501e-05 0.00530708840224 0.00010056569701 2.23670323539e-05 84.5690219033 130.088062585
38000 32.5203340036 23.9501039552 25.3929781541 0.00565032736549 8.45808669364e-06 -2.14263848339e-05 0.00556982024629 4.82965565179e-06 -0.000348849757789 0.00564760476917 3.50816511179e-05 0.000243234224352 0.00586531742642 -4.95075242907e-05 -0.000106384482675 0.00540765717044 2.42053569469e-05 6.23000490171e-05 0.00593170953653 -1.46016193837e-05 -5.35853026667e-05 0.00530308902627 9.97463920886e-05 3.37171902588e-05 84.5074588256 130.151571377
39000 33.0851052696 23.9509346719 25.3910083028 0.00564535619314 8.03698661571e-06 -1.83064213e-05 0.0055713774113 7.76536019512e-06 -0.000334977911807 0.00563545965795 3.64501843997e-05 0.00023950197572 0.00585853936163 -4.79131511227e-05 -0.000103533526807 0.00540321985442 1.93668156976e-05 6.78591867373e-05 0.00592682648456 -1.62048522696e-05 -5.00835306165e-05 0.00529930627923 9.1972117705e-05 4.40885974733e-05 84.4458461792 130.219824974
40000 33.649423034 23.9516970999 25.3893761609 0.00564075653852 7.26589739024e-06 -1.46442645771e-05 0.00557753261232 8.10648516588e-06 -0.000339561823171 0.00562478934968 3.76968019029e-05 0.000242825244622 0.00585535768184 -4.76084232171e-05 -0.000100557333945 0.00539976629196 1.45302803824e-05 7.02122564364e-05 0.00591995111889 -1.2788551909e-05 -5.2216168654e-05 0.0052970716528 9.11548198576e-05 5.63999283622e-05 84.3830532159 130.291258288
41000 34.2133174245 23.9523966868 25.3880879942 0.00563759207752 6.58099230848e-06 -1.17152076551e-05 0.0055797583281 1.02407170876e-05 -0.000329136069492 0.00561627316475 3.85839679279e-05 0.000245520193071 0.0058491809536 -4.56488734329e-05 -9.70410972665e-05 0.00539733679097 9.57518724785e-06 7.39365001638e-05 0.00591764766055 -1.42091453063e-05 -4.82718782562e-05 0.00529369864546 8.06613874453e-05 6.5579585631e-05 84.3201805739 130.367673796
42000 34.7768962698 23.953001803 25.3870995338 0.00563412463239 5.84561281852e-06 -8.06700011565e-06 0.00558523941659 1.075264045e-05 -0.000324922313942 0.00560916474802 3.92770664827e-05 0.000242391858108 0.00584575546896 -4.50079209117e-05 -9.37723997669e-05 0.0053939054363 5.50878198629e-06 7.71597226103e-05 0.00591356745816 -1.33051155781e-05 -4.82574173422e-05 0.00529284986944 8.12255362575e-05 7.85208875605e-05 84.2560684028 130.447263083
