cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
0 56.9700659729 6.00439133187 14.9637867968 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 86.4064976496 129.503986998
1000 57.178291101 6.00445677143 14.9639037052 0.0031632370875 -2.19933402807e-06 1.03433470897e-07 0.00330235794879 3.39137092642e-05 -4.78618748623e-06 0.00316740309477 -3.91246549379e-05 4.70625500175e-06 0.00172250585192 3.80773227226e-06 2.79630669575e-06 0.00435908853459 -6.14281270232e-06 -8.72227572989e-07 0.00224854178747 -8.67104659647e-06 -8.94519693006e-07 0.00404035587668 -3.32637384964e-06 6.20574680048e-07 86.40616539 129.491173861
2000 57.5275158174 6.00457353769 14.9640389329 0.00368205828824 1.44874124175e-06 2.43262940737e-06 0.00384929053561 0.00010583827121 9.61862833465e-06 0.00366459268527 -0.000108295915827 -5.10802536173e-06 0.00203561304623 1.43256579082e-05 7.12414825489e-06 0.00509605393117 -6.48501984911e-06 2.82334651838e-06 0.00259635308981 -1.17502231715e-05 2.06032236532e-06 0.00473209054015 -4.62453621507e-06 1.24425267787e-06 86.4038243501 129.493940468
3000 57.9011407773 6.00471898622 14.9644403224 0.00376227392205 1.92496788011e-06 5.36791991812e-06 0.00348835136893 0.000167721319922 3.02365305986e-05 0.0041901092589 -0.000146999514726 -2.4237976401e-05 0.00214988758878 2.34936235894e-05 1.24792194885e-05 0.00515901854515 -1.24648598125e-05 4.95079067913e-06 0.0026799707991 -1.6918240742e-05 5.33050978212e-06 0.00480745242578 -9.52272582883e-06 2.11411882534e-06 86.3959879762 129.537666818
4000 58.2773869196 6.00492071693 14.9651407719 0.00375741816564 2.47547761466e-06 8.444991478e-06 0.00350538330912 0.000222953955025 5.94766101139e-05 0.00416420159442 -0.000191943770915 -4.26070477e-05 0.00221828368357 3.16780955376e-05 1.74613468141e-05 0.00509571437946 -1.91337418056e-05 7.34758686378e-06 0.00270791918808 -2.08231414417e-05 9.52190872494e-06 0.00476687720186 -1.20748280061e-05 4.00772267557e-06 86.3798979129 129.619288489
5000 58.6521695421 6.00518247535 14.9661499192 0.00373751038428 3.0121202655e-06 1.16218882988e-05 0.00351600810301 0.00026086547167 8.6165948854e-05 0.0041148698388 -0.000238575688411 -6.61670967349e-05 0.00227202609348 3.92273359837e-05 2.19911887672e-05 0.00501851842679 -2.42583788284e-05 9.21762644133e-06 0.00272222639168 -2.21860975794e-05 1.44232150026e-05 0.00470909740539 -1.76799215296e-05 5.61708113908e-06 86.3538200161 129.732694933
6000 59.0248694082 6.00549138319 14.967464962 0.0037166659307 3.35408740045e-06 1.42788804744e-05 0.00352957074474 0.000294579161244 0.000112397266849 0.00405945638125 -0.000267200463368 -8.32705323938e-05 0.00231822400611 4.63099640087e-05 2.57090825424e-05 0.00494214739136 -3.07492925929e-05 1.11373122159e-05 0.00273295535122 -2.04981036608e-05 1.91643091726e-05 0.00465320958984 -1.82762328169e-05 8.96889533952e-06 86.3162829289 129.872868454
7000 59.3955260564 6.00586060005 14.9690433472 0.00369619249287 1.4069783719e-06 1.90526475978e-05 0.00354594087018 0.000334532499613 0.000141517593766 0.00400308712558 -0.000310363344277 -0.000101834422697 0.00235792326747 5.18273918995e-05 2.9151425926e-05 0.0048730633866 -3.24468611334e-05 1.70946724522e-05 0.00274234881658 -2.002067591e-05 2.39926728561e-05 0.00459936421496 -2.82971702064e-05 1.3861523248e-05 86.2671466318 130.035832353
8000 59.7642482894 6.00624986233 14.9708860638 0.00367792397587 4.04715781459e-06 1.95541286669e-05 0.00356621945172 0.000351786036417 0.000157333420579 0.0039411800369 -0.000328848667571 -0.000121496794569 0.0023943436035 5.73337572361e-05 3.31861277819e-05 0.00481028747295 -4.06898264395e-05 1.44907279198e-05 0.00275268642941 -1.45914483897e-05 2.89648195528e-05 0.00455247249628 -2.36203621479e-05 1.56923418294e-05 86.2055743896 130.21776257
9000 60.1311619898 6.00665957449 14.9729539623 0.00366050298116 4.38360314368e-06 2.17684152625e-05 0.00315003456743 0.000339552917739 0.000134609503235 0.00388090316903 -0.000350699642094 -0.000135491163308 0.00242783997142 6.10687862964e-05 3.68691038429e-05 0.00475472258771 -4.53018715147e-05 1.53791136734e-05 0.00276082236586 -9.31516615534e-06 3.39999353206e-05 0.00450659168952 -3.61425865709e-05 1.71378940826e-05 86.1312888959 130.415350261
