cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
0 32.5913557968 33.159738946 31.4192243264 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 86.4064976496 129.503986998
1000 32.7807435906 33.1598868062 31.419209898 0.00277586204478 1.40677550936e-06 -3.22480264596e-07 0.00238250408278 -2.24080892651e-05 -2.13742163234e-05 0.00339203959438 1.66684221423e-05 1.57039932407e-05 0.00328077734951 1.87240676813e-06 -3.67544997597e-06 0.00214995962119 7.80094840431e-08 5.53803723275e-06 0.00321589651503 1.5060469976e-05 -4.08747588435e-06 0.00197532018428 -7.74456331568e-06 9.31701554525e-06 86.4129571915 129.954887852
2000 33.0848284055 33.1601158161 31.4190897951 0.00319294549912 3.5577672164e-06 -1.72803946662e-06 0.00272141228707 -4.94384008133e-05 -4.76992936837e-05 0.00391464207647 4.16314746719e-05 3.74311104636e-05 0.0037652782282 8.87407112259e-06 -8.61460756473e-06 0.00249144384743 -1.5976154455e-06 8.39553114638e-06 0.00371187302803 3.88924000866e-05 -1.27211192339e-05 0.00227939263055 -2.64216276938e-05 1.86932323306e-05 86.4381180936 130.871080867
3000 33.4086053727 33.1605955893 31.4188216145 0.00326040797794 6.05278691722e-06 -3.51307543088e-06 0.00279544961562 -6.79261994556e-05 -7.04845809815e-05 0.00397221034256 6.17087271141e-05 5.13504127506e-05 0.00380833251179 1.7667552115e-05 -1.0884318093e-05 0.00258624614076 -5.01569355022e-06 6.04972463071e-06 0.00377619466962 5.98228869856e-05 -1.94132099102e-05 0.00236131831244 -4.66545893057e-05 2.24065268366e-05 86.4702237795 131.898076198
4000 33.7348451377 33.161329525 31.4183775154 0.00325999915053 8.56370845123e-06 -5.34777033069e-06 0.00282171401008 -8.11040061494e-05 -9.0111881155e-05 0.00393710841532 7.86689809865e-05 6.11207057015e-05 0.00377422975832 2.95542448679e-05 -9.9386273206e-06 0.0026238312939 -1.10367753952e-05 2.22046029044e-07 0.00375668462647 7.92411839323e-05 -2.42464140666e-05 0.00239651601068 -6.58029920115e-05 2.18879831669e-05 86.4939066202 132.943858285
5000 34.060265386 33.1623150285 31.4177571359 0.00324756092132 1.11032074095e-05 -6.90194665796e-06 0.00284139356643 -8.84887716871e-05 -0.000102409586464 0.0038850435845 9.27797544166e-05 7.17587233037e-05 0.00373113651137 4.1330377452e-05 -9.85261146861e-06 0.00264639869829 -1.89000603377e-05 -7.97836022163e-06 0.00372327287398 9.22227219952e-05 -2.73477106432e-05 0.00242246022301 -8.46360260616e-05 1.87488327026e-05 86.4976616486 133.977443545
6000 34.384336233 33.1635397486 31.4169693981 0.00323395704095 1.31362809137e-05 -8.94845520419e-06 0.00285901720234 -9.06348453032e-05 -0.000110431327847 0.00383118078939 0.000101978963903 7.20725031116e-05 0.00368955814051 5.1330935264e-05 -9.0947054513e-06 0.00266560724393 -2.53961834775e-05 -1.56493033289e-05 0.00368861847202 0.000104488997338 -3.11943226906e-05 0.00244618949422 -0.000102094118214 1.5280123234e-05 86.475357733 134.984019739
7000 34.7070612842 33.1649472559 31.4159748949 0.00322067257158 1.50708020351e-05 -1.09018574676e-05 0.00287864363915 -9.27783782713e-05 -0.000120557873079 0.00377662679095 0.000112051797589 7.71645608395e-05 0.00365147640467 6.48879440468e-05 -7.81612285342e-06 0.00268188399371 -3.23370938067e-05 -2.15725841568e-05 0.00365418984674 0.000114638914779 -3.39204723352e-05 0.00246781260705 -0.000115993805197 9.71097587235e-06 86.4210966255 135.953587926
8000 35.0285190087 33.1665614429 31.4147988651 0.00320847040192 1.69794733104e-05 -1.26537592191e-05 0.00290041166542 -9.55782189057e-05 -0.000130930800457 0.00372622542715 0.000119265910396 8.082351812e-05 0.00361667432471 7.24527316502e-05 -8.61835320783e-06 0.00269650357823 -3.98944432523e-05 -2.9068307631e-05 0.00362356611464 0.000120729502471 -3.56893968876e-05 0.00248884132236 -0.000125810615156 2.93838144135e-06 86.3321434416 136.879470818
9000 35.3488019811 33.1683374642 31.4134300143 0.0031970851218 1.82684783331e-05 -1.45238858715e-05 0.00249609500077 -5.73482218501e-05 -8.92802895696e-05 0.00367543743221 0.000124043379499 7.86147116317e-05 0.00358392229433 8.08880791001e-05 -7.04263613605e-06 0.00271121540765 -4.75363434578e-05 -3.79923852936e-05 0.0035928591469 0.000128670559463 -3.85113364564e-05 0.00251025251253 -0.000137224297067 -2.72924717841e-06 86.2105754833 137.759580583
