cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
10000 48.0890238963 20.835685193 22.4732002722 0.00673007564131 1.84174016388e-06 1.62890574093e-05 0.00673825203368 1.41400135622e-05 -3.55420142921e-05 0.00672217857228 4.52759946158e-05 8.86980828818e-05 0.00670828043117 -9.52977584581e-06 1.64979234973e-05 0.00669110818453 8.46163982604e-06 5.95326558558e-05 0.00692308578712 -7.84294025061e-06 1.39027175385e-05 0.00639858328108 2.27736550663e-05 -3.00281833454e-05 86.3945259901 129.43190948
11000 48.7595365798 20.8359060027 22.4749745073 0.00668043452195 2.54583264457e-06 1.90230633825e-05 0.00668651181511 1.42681817609e-05 -3.9658792232e-05 0.00667068179867 4.53905419543e-05 9.29521561333e-05 0.00665707654826 -9.48991182973e-06 1.89423903289e-05 0.00664209133863 1.0860972237e-05 6.57700053629e-05 0.00687216884129 -7.66291912979e-06 1.73198768806e-05 0.00635662144394 2.52875423957e-05 -2.88254294035e-05 86.3917223085 129.457162477
12000 49.4251850668 20.8362000455 22.4770142194 0.00663313433758 3.40182745043e-06 2.182143791e-05 0.00663767363971 1.37895116479e-05 -3.80057526288e-05 0.00662148203715 4.65049474424e-05 9.9500208945e-05 0.00660792148274 -9.53927092308e-06 2.00884764589e-05 0.0065959102653 1.39783637514e-05 7.02099725168e-05 0.00682374734206 -7.36383181258e-06 2.09533924546e-05 0.00631586932639 2.81726429079e-05 -2.68366073898e-05 86.3880947095 129.485687085
13000 50.0862173669 20.8365738298 22.479326823 0.00658795585689 4.11326409548e-06 2.46559846339e-05 0.00659072330145 1.44101917014e-05 -3.92227376249e-05 0.00657487779684 4.79398321606e-05 0.000108163715379 0.00656152127462 -1.00096861036e-05 2.163708039e-05 0.0065502203376 1.60953384717e-05 7.55233605359e-05 0.00677759179258 -6.69319853994e-06 2.48260377765e-05 0.00627804418409 2.93111935581e-05 -2.39609401275e-05 86.3830814783 129.516987427
14000 50.7428373413 20.8370423517 22.4819327646 0.0065448746937 5.07212744437e-06 2.73478345943e-05 0.00654683847745 1.46842487043e-05 -4.32573077179e-05 0.00652958986724 4.79801959928e-05 0.000110772965229 0.00651758554928 -9.30442897096e-06 2.39738099167e-05 0.00650719585002 1.82954179274e-05 8.06264726091e-05 0.0067335310429 -5.88609947885e-06 2.84620651025e-05 0.00624047688706 3.16327881765e-05 -2.16647429564e-05 86.3774653394 129.550897464
15000 51.3952479579 20.8375991107 22.4848285853 0.00650368671659 6.11396452213e-06 3.04313190146e-05 0.00650532513583 1.48524812625e-05 -4.01289867457e-05 0.00648637313949 4.89071858254e-05 0.000116807005017 0.00647570547306 -8.578496272e-06 2.51045252799e-05 0.00644062480495 3.90943977175e-05 3.05461765411e-05 0.00669167500556 -5.26524670243e-06 3.23365537059e-05 0.00620443718217 3.32256171917e-05 -1.76612568475e-05 86.3707814236 129.586376188
16000 52.0436485408 20.8382515501 22.4880047324 0.00646444925471 6.83403370345e-06 3.3236693708e-05 0.00646547889111 1.55096246103e-05 -4.15396439665e-05 0.00644555504315 4.98263573439e-05 0.000124270790832 0.00643607205509 -9.1567025785e-06 2.68923264969e-05 0.0064017323458 3.99217696639e-05 3.30227474735e-05 0.00665179175498 -4.31886572392e-06 3.62182074552e-05 0.00617041780829 3.40855453522e-05 -1.43984608433e-05 86.3625960687 129.623429423
17000 52.688219885 20.8390045185 22.4914786559 0.00642731940076 8.08097417395e-06 3.6007072585e-05 0.00642914790907 1.60828565004e-05 -4.38916262737e-05 0.00640586964619 5.00036790254e-05 0.000125473544005 0.00639918342115 -7.41012576316e-06 2.91768050514e-05 0.00636452919308 4.12967696873e-05 3.57056840042e-05 0.00661414860986 -2.78012809008e-06 3.99057633523e-05 0.0061369992188 3.67380138757e-05 -1.07943353737e-05 86.3537083394 129.661559637
18000 53.3291520259 20.8398511115 22.4952307848 0.0063917920983 8.96647651846e-06 3.89639734367e-05 0.00639416980976 1.63245639841e-05 -3.9909493555e-05 0.00636833860591 5.06274096535e-05 0.000131191956502 0.00636374250616 -6.87850154442e-06 3.01421964365e-05 0.00632841536722 4.23001804731e-05 3.74437195922e-05 0.00657835575066 -2.19978937868e-06 4.35751729398e-05 0.00610554901585 3.6459913032e-05 -6.59210454581e-06 86.3436146214 129.70042368
19000 53.9666301545 20.8407920383 22.4992512468 0.00635825633291 9.79288884646e-06 4.16349905029e-05 0.00636118211821 1.7486490145e-05 -4.32338940554e-05 0.00633314207438 5.10074611063e-05 0.000135962535439 0.00633075986207 -6.84140145555e-06 3.27402183594e-05 0.00629513011545 4.28218750365e-05 3.97885831418e-05 0.00654452384715 -6.97299088765e-07 4.75400391336e-05 0.0060754072541 3.75515855975e-05 -3.20431129198e-06 86.3320435349 129.739762929
20000 54.6008347189 20.8418231729 22.5035593008 0.00632609977562 1.10290355193e-05 4.43037348221e-05 0.00633082780627 1.78492385993e-05 -4.16372915628e-05 0.00629853303109 5.13698126404e-05 0.000137033180814 0.00629943126444 -4.72294821752e-06 3.45663466551e-05 0.00626231769347 4.36855246934e-05 4.18384363885e-05 0.00651230466539 1.03364811954e-06 5.0916991991e-05 0.00604566936634 3.88601514523e-05 1.32237843497e-06 86.3198256682 129.779392968
21000 55.2319302245 20.8429457184 22.5081115391 0.00629598410148 1.14996640259e-05 4.68892008615e-05 0.00630200644345 1.80570891518e-05 -3.8212752191e-05 0.00626660758401 5.14483942421e-05 0.000142930562999 0.00627019378181 -5.02446339925e-06 3.55161802984e-05 0.00623115782957 4.36080588218e-05 4.24105285424e-05 0.00648224656092 1.31889274715e-06 5.44461931079e-05 0.00601854897666 3.85210290423e-05 4.18575609718e-06 86.3062326056 129.819123726
22000 55.8600981013 20.8441276167 22.5129108793 0.00626747721744 1.22184024389e-05 4.91508508023e-05 0.00627530128202 1.92603928624e-05 -4.31895228229e-05 0.00623602019703 5.1221324935e-05 0.000144154527835 0.00624310654069 -3.99695670283e-06 3.84635759355e-05 0.0062028612564 4.41598239017e-05 4.48915761699e-05 0.00645362238664 2.87284160261e-06 5.80637950729e-05 0.00599178147648 4.00320575344e-05 7.76436539113e-06 86.2912810477 129.858468455
23000 56.4854920917 20.8453771808 22.5179399568 0.006240607973 1.261851583e-05 5.13351134297e-05 0.00625052294464 1.89249030507e-05 -3.76220988682e-05 0.00631305637619 5.05275631885e-05 0.000134588293736 0.00621741751177 -3.38146454814e-06 3.93522811077e-05 0.00617501064815 4.39635875107e-05 4.56275569112e-05 0.00642722924187 3.69887079583e-06 6.10302258121e-05 0.00596670251763 3.89567398114e-05 1.07151046872e-05 86.2757368457 129.897623177
