cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
13000 98.7030194306 31.8482016308 30.9977778554 0.00360184686637 -1.02117875501e-05 1.321225158e-05 0.00358095663347 -7.06502237411e-05 -0.000108970033131 0.00370440051901 5.87053852979e-05 8.05090105955e-05 0.00361481714568 1.63534882636e-06 -1.35705772874e-05 0.00349586070513 -2.92439648893e-05 4.62969263687e-05 0.00391277872997 1.24969396485e-05 2.25219771582e-05 0.00317437530575 -5.33629240135e-05 -1.37758724122e-05 85.2337978554 132.40738165
14000 99.0628830502 31.8470993076 30.999237301 0.00359191828698 -1.05229706824e-05 1.51724012156e-05 0.00358327137362 -6.7503905759e-05 -0.000106626795888 0.00367698305257 5.25698923788e-05 7.89989326981e-05 0.00360794299529 5.81168538424e-07 -1.19528538385e-05 0.00349246887165 -2.91735622075e-05 4.88203004169e-05 0.00388627314165 1.346365824e-05 2.60383838593e-05 0.00318658244489 -5.29991245634e-05 -1.41726723047e-05 85.0784019477 132.567143759
15000 99.4219179643 31.8458772848 31.0008810671 0.00358294095116 -1.1513598851e-05 1.58314563642e-05 0.00358542105181 -6.57664172306e-05 -0.00010426780563 0.00365423381764 4.57001598299e-05 8.01885590441e-05 0.00360181949934 -1.86224147807e-06 -1.27892283799e-05 0.00348776259587 -2.92759439376e-05 5.04295040917e-05 0.00386105058782 1.44106908616e-05 2.8227344939e-05 0.00320154072854 -5.37342577685e-05 -1.57840305671e-05 84.9018613641 132.69599016
16000 99.77983933 31.8445987366 31.0026181451 0.00357597868149 -1.16196185965e-05 2.00816702759e-05 0.0035875314338 -5.87844226353e-05 -9.30975705482e-05 0.00366787949029 3.81848461163e-05 8.9126501592e-05 0.00359715950059 -2.57825311871e-06 -6.00993974065e-06 0.00348634962111 -2.80859981093e-05 5.38031542132e-05 0.00384377694403 1.58804321344e-05 3.44925037474e-05 0.00321547799016 -5.39039661624e-05 -1.22125481419e-05 84.7076566797 132.805052878
17000 100.136628503 31.8431855237 31.0044616692 0.00356272894563 -9.80116630101e-06 2.33611688962e-05 0.00358878997945 -5.58405431982e-05 -9.22191913112e-05 0.00369384398513 3.27448401485e-05 0.000100955442458 0.00359244761436 -5.23206161771e-06 -6.87871335206e-06 0.00348095568835 -2.32228200012e-05 5.65214037303e-05 0.00381001494304 2.48178795326e-05 3.0299701829e-05 0.00322692394726 -5.45690951707e-05 -1.46043816141e-05 84.4621164469 132.860212558
18000 100.492808993 31.8417264327 31.0064262024 0.00355842728358 -1.41809422522e-05 2.00391476118e-05 0.00359077792936 -5.30960741303e-05 -8.67331765903e-05 0.00351569872105 2.18264477239e-06 8.70369052668e-05 0.00358482921569 -7.49308461124e-06 -9.17347223605e-06 0.0034579658278 -6.52110751858e-06 2.88859406345e-05 0.00379895450008 1.37431875527e-05 3.78458550313e-05 0.0032364567982 -5.41461007851e-05 -1.56784507159e-05 84.2478079707 132.943005701
19000 100.848110647 31.8402103961 31.0084816242 0.00355008098874 -1.44929239179e-05 1.99509445352e-05 0.00359287724375 -4.49809405793e-05 -7.90822552869e-05 0.00349768619731 2.03829840081e-06 8.25228309313e-05 0.00356953866663 -3.57617686865e-05 2.97922999877e-05 0.00345728317865 -7.73412027569e-06 2.46538683469e-05 0.00377885115345 1.34008991865e-05 3.93785191328e-05 0.00324718743891 -5.38277475853e-05 -1.48621298164e-05 84.0372755838 133.029355031
20000 101.202796904 31.8385873025 31.0106275533 0.00354348614525 -1.56774249032e-05 2.08277229289e-05 0.00359105403962 -4.25702881014e-05 -7.7857963384e-05 0.00348304851518 -5.04805738184e-06 7.46537153931e-05 0.00356331737034 -3.91630310798e-05 3.02778238655e-05 0.00345182034208 -8.7370443447e-06 2.77495992574e-05 0.00376112923894 1.28954807251e-05 4.19130256966e-05 0.00325688516228 -5.45801629304e-05 -1.46727661016e-05 83.811868832 133.091510309
21000 101.556603477 31.8369099724 31.012799897 0.00353690021672 -1.62956782375e-05 2.23426255901e-05 0.00329353604439 -3.41373813048e-05 -2.37253457845e-05 0.00346700393454 -1.31532108361e-05 7.40745585632e-05 0.00355768538482 -4.01688039737e-05 3.11510541498e-05 0.00344845369096 -8.4824697024e-06 2.91073361891e-05 0.00374544014563 1.23484052832e-05 4.40144761368e-05 0.00326314175788 -5.35006410025e-05 -1.54618863035e-05 83.5737989016 133.141378146
22000 101.910076723 31.8351684988 31.0152665271 0.00353089722945 -1.67973346216e-05 2.39376700488e-05 0.00329499244562 -3.31511784438e-05 -2.54444790436e-05 0.00346070242633 -1.25839858293e-05 7.14829426493e-05 0.00355276353157 -4.15074854381e-05 3.28783649374e-05 0.00344890269933 -9.95969305039e-06 2.59789205058e-05 0.00372829058345 1.13284794498e-05 4.75456185387e-05 0.0032735290863 -5.28459475545e-05 -1.32050131164e-05 83.351631293 133.196711122
23000 102.262776177 31.8333443565 31.0177107283 0.00352372715051 -1.76695367557e-05 2.370290771e-05 0.00329319308408 -3.37393638553e-05 -3.52424101039e-05 0.0037977727059 2.85018304499e-05 2.35023117864e-05 0.00354555410987 -4.51286548329e-05 3.21133770503e-05 0.00344053787551 -1.03626341748e-05 2.89473336148e-05 0.00371290737836 1.09071496721e-05 4.89376151244e-05 0.0032802788846 -5.32269377089e-05 -1.27245486342e-05 83.1033314935 133.232050843
24000 102.615142451 31.8314628296 31.0202620581 0.00351902831247 -1.84756959551e-05 2.46492051916e-05 0.00329528012441 -3.52461567595e-05 -2.96268164363e-05 0.00378024718426 3.12585722688e-05 3.33134656052e-05 0.00354274452314 -4.50165739537e-05 3.28734264693e-05 0.00343902272632 -9.8437571557e-06 2.90182788226e-05 0.00370097779284 9.7868137043e-06 4.97512140588e-05 0.00328470308021 -5.20059205838e-05 -1.34054573542e-05 82.8612344952 133.259729822
25000 102.966903309 31.8296193984 31.0227849949 0.00351411371174 -1.8442338589e-05 2.44513665168e-05 0.0032968852463 -3.30685480526e-05 -3.42784035951e-05 0.00375227508396 3.20438404388e-05 3.99538004533e-05 0.00353702774243 -4.73053597467e-05 3.28669889502e-05 0.00344178012286 -1.11321148968e-05 2.30802482702e-05 0.00368900124956 9.70265542676e-06 5.11933616738e-05 0.00329156962779 -5.14188291957e-05 -1.27175753289e-05 82.652736883 133.318040073
26000 103.318186629 31.8276857653 31.0253389624 0.00350975633901 -1.88291408967e-05 2.4748860896e-05 0.00329486309598 -3.48603784796e-05 -4.1648814249e-05 0.00374575665474 3.26856162535e-05 4.75035070171e-05 0.00353182831871 -4.9006474704e-05 3.29507623135e-05 0.00343379621241 -1.07395671524e-05 2.79524760278e-05 0.00367897124027 9.54485640622e-06 5.29126976218e-05 0.00329772761233 -5.10192629743e-05 -1.20775428337e-05 82.4080522349 133.342742667
27000 103.669063768 31.8257717899 31.0279161666 0.00350708517383 -2.00392779724e-05 2.63033605548e-05 0.00329501522719 -3.40933430181e-05 -4.3166642593e-05 0.00373271906594 3.30978945265e-05 5.2292612859e-05 0.00352798507164 -5.12846393947e-05 3.32756064745e-05 0.00343955895397 -1.18436567389e-05 3.44311055369e-05 0.00367035100467 8.19942098932e-06 5.4931378923e-05 0.00329800287242 -5.0198295516e-05 -1.39385810431e-05 82.1899013447 133.380961113
28000 104.019463391 31.8238504575 31.0304548931 0.00350197333516 -1.91938551673e-05 2.48346546702e-05 0.00329780519689 -3.36815163946e-05 -3.99830428766e-05 0.00371517188151 3.2693713097e-05 5.31356016147e-05 0.00352448422216 -5.08608213538e-05 3.26229212152e-05 0.00343512122813 -1.19301069318e-05 2.09307409558e-05 0.00365872171241 8.42116638361e-06 5.49689240398e-05 0.00330536295043 -4.86638772204e-05 -1.27256957994e-05 81.979482063 133.420856646
29000 104.369511969 31.8219070696 31.0329868853 0.00350015589195 -1.95108441732e-05 2.60320848085e-05 0.00330139742633 -3.47167786622e-05 -4.28703514397e-05 0.00370343107351 3.47744517527e-05 6.53047791642e-05 0.00352113857705 -5.33110570804e-05 3.29468671294e-05 0.00343027096145 -9.63911583002e-06 2.64977146343e-05 0.0036518545922 8.63648669979e-06 5.54378198244e-05 0.00331222262853 -4.96417726219e-05 -1.08528508598e-05 81.7648167495 133.451917834
30000 104.719267522 31.819941495 31.0355499685 0.00349657943657 -1.95478409883e-05 2.57252010584e-05 0.00330262439605 -3.48957775726e-05 -4.29839389314e-05 0.00369096093977 3.31004141678e-05 6.33847481352e-05 0.00351862009199 -5.26065692355e-05 3.28864216738e-05 0.00342928310314 -9.63312486917e-06 2.51762960918e-05 0.00364315285762 7.4734669489e-06 5.65922297475e-05 0.00331267450603 -4.75084562388e-05 -1.30335295662e-05 81.5466369428 133.473896536
31000 105.068739666 31.8179800991 31.0381232393 0.00349352297875 -1.9605107762e-05 2.5940277403e-05 0.00330578765191 -3.40085208062e-05 -4.44480392951e-05 0.00367906886775 2.97622871266e-05 6.33647186273e-05 0.00351486535104 -5.37869169364e-05 3.36616053436e-05 0.00343107332233 -1.17129539204e-05 1.94608618723e-05 0.00363604017698 7.08914619504e-06 5.79915967886e-05 0.00331739687485 -4.6559351784e-05 -1.16260407249e-05 81.3244662335 133.489715857
